SensorName,Year,Month,WeekNum,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
Alpine Meadows,1996,1,4.0,14.0125,114.2,29.25,12.875,18.625,0.3375
Alpine Meadows,1996,10,1.0,1.20344827586,9.91724137931,46.5862068966,34.8275862069,39.3103448276,0.765517241379
Alpine Meadows,1996,10,2.0,0.0,2.65,77.5,50.5,59.5,0.1
Alpine Meadows,1996,11,1.0,5.66071428571,31.5285714286,38.2142857143,29.8214285714,33.1785714286,0.828571428571
Alpine Meadows,1996,11,2.0,5.0,26.4,48.5,39.0,42.5,0.2
Alpine Meadows,1996,12,1.0,22.1862068966,58.9931034483,33.3793103448,25.4827586207,29.1034482759,0.934482758621
Alpine Meadows,1996,12,2.0,18.2,55.25,35.0,31.0,32.0,0.8
Alpine Meadows,1996,2,1.0,15.2285714286,116.2,40.5714285714,25.8571428571,31.1428571429,0.885714285714
Alpine Meadows,1996,2,2.0,14.475,127.275,55.0,35.75,41.75,0.8625
Alpine Meadows,1996,2,3.0,14.75,131.55,37.375,29.75,32.75,0.9875
Alpine Meadows,1996,2,4.0,19.65,137.45,34.8333333333,16.5,22.6666666667,0.333333333333
Alpine Meadows,1996,3,1.0,19.4,138.514285714,41.7142857143,29.8571428571,33.2857142857,0.1
Alpine Meadows,1996,3,2.0,18.725,139.3625,47.0,34.0,38.25,0.1625
Alpine Meadows,1996,3,3.0,18.7125,140.95,41.125,29.375,33.375,0.2375
Alpine Meadows,1996,3,4.0,19.975,142.575,40.875,24.625,30.375,0.3125
Alpine Meadows,1996,4,1.0,21.8285714286,145.9,52.0,33.4285714286,39.8571428571,0.428571428571
Alpine Meadows,1996,4,2.0,19.3125,149.325,47.5,34.75,39.375,0.55
Alpine Meadows,1996,4,3.0,19.8625,153.8125,44.375,31.0,35.75,0.7
Alpine Meadows,1996,4,4.0,20.5857142857,159.571428571,42.2857142857,31.4285714286,34.8571428571,0.528571428571
Alpine Meadows,1996,5,1.0,22.5142857143,162.785714286,42.7142857143,29.0,33.2857142857,0.428571428571
Alpine Meadows,1996,5,2.0,23.15,165.2875,47.375,35.125,39.125,0.4375
Alpine Meadows,1996,5,3.0,19.225,169.35,47.5,35.125,39.375,0.4
Alpine Meadows,1996,5,4.0,15.225,171.4125,50.625,36.75,42.75,0.1875
Alpine Meadows,1996,6,1.0,8.8,172.5,64.2857142857,42.8571428571,52.5714285714,0.0
Alpine Meadows,1996,6,2.0,0.85,172.5375,59.0,38.375,46.75,0.0125
Alpine Meadows,1996,6,3.0,0.0,173.1625,54.0,37.0,44.25,0.1625
Alpine Meadows,1996,6,4.0,0.0,174.742857143,57.4285714286,42.2857142857,48.1428571429,0.171428571429
Alpine Meadows,1996,7,1.0,0.0,175.442857143,66.1428571429,44.0,53.5714285714,0.0571428571429
Alpine Meadows,1996,7,2.0,0.0,175.5,75.875,51.0,62.25,0.0
Alpine Meadows,1996,7,3.0,0.0,177.5875,60.125,45.625,51.5,0.5125
Alpine Meadows,1996,7,4.0,0.0,179.6,80.125,56.625,65.75,0.0
Alpine Meadows,1996,8,1.0,0.0,181.9,59.8333333333,42.8333333333,49.6666666667,0.566666666667
Alpine Meadows,1996,8,2.0,0.0,184.1,77.75,53.125,62.875,0.0
Alpine Meadows,1996,8,3.0,0.0,184.1,63.75,44.875,52.25,0.0
Alpine Meadows,1996,8,4.0,0.0,184.225,73.75,54.125,61.75,0.1
Alpine Meadows,1996,9,1.0,0.0,185.628571429,53.2857142857,40.8571428571,46.0,0.385714285714
Alpine Meadows,1996,9,2.0,0.0,189.15,59.125,45.5,50.875,0.4875
Alpine Meadows,1996,9,3.0,0.0,193.0625,48.125,36.0,40.75,0.425
Alpine Meadows,1996,9,4.0,0.0,194.957142857,65.8571428571,44.1428571429,50.7142857143,0.0142857142857
Alpine Meadows,1997,1,1.0,34.1,79.3666666667,34.6666666667,29.6666666667,31.8333333333,1.36666666667
Alpine Meadows,1997,1,2.0,37.6875,87.175,38.875,27.5,31.125,0.075
Alpine Meadows,1997,1,3.0,38.3875,91.8125,36.125,30.125,33.125,1.275
Alpine Meadows,1997,1,4.0,43.275,99.15,36.875,24.75,29.5,0.5625
Alpine Meadows,1997,10,1.0,0.0275862068966,10.9137931034,47.8275862069,36.4827586207,40.7931034483,0.741379310345
Alpine Meadows,1997,10,2.0,0.0,8.45,41.0,33.5,36.5,0.25
Alpine Meadows,1997,11,1.0,0.721428571429,26.9785714286,44.6428571429,34.0,37.5,0.5
Alpine Meadows,1997,11,2.0,0.0,24.6,52.0,35.0,40.0,0.0
Alpine Meadows,1997,12,1.0,7.40689655172,42.9344827586,38.275862069,29.3448275862,32.5862068966,0.548275862069
Alpine Meadows,1997,12,2.0,4.2,37.05,32.0,26.5,29.0,0.8
Alpine Meadows,1997,2,1.0,44.8571428571,104.057142857,42.7142857143,25.1428571429,30.0,0.371428571429
Alpine Meadows,1997,2,2.0,47.2375,106.95,38.0,28.25,32.0,1.2375
Alpine Meadows,1997,2,3.0,52.55,117.5,42.875,29.125,33.0,0.625
Alpine Meadows,1997,2,4.0,54.64,119.78,42.0,26.8,31.6,0.26
Alpine Meadows,1997,3,1.0,59.5714285714,124.857142857,33.1428571429,26.8571428571,29.1428571429,1.48571428571
Alpine Meadows,1997,3,2.0,65.7625,133.3625,39.0,24.375,29.375,0.825
Alpine Meadows,1997,3,3.0,65.6375,143.8125,41.75,31.0,36.0,1.35
Alpine Meadows,1997,3,4.0,65.5,151.325,42.875,28.25,33.375,0.675
Alpine Meadows,1997,4,1.0,68.2428571429,154.6,46.8571428571,25.1428571429,32.5714285714,0.142857142857
Alpine Meadows,1997,4,2.0,69.35,156.1125,44.375,30.75,35.25,0.4125
Alpine Meadows,1997,4,3.0,71.1125,160.7625,46.875,32.75,37.375,0.775
Alpine Meadows,1997,4,4.0,70.3142857143,165.928571429,44.7142857143,32.4285714286,36.5714285714,1.04285714286
Alpine Meadows,1997,5,1.0,72.7,172.742857143,49.7142857143,32.1428571429,37.7142857143,0.357142857143
Alpine Meadows,1997,5,2.0,68.7,174.3,70.0,40.875,50.625,0.0
Alpine Meadows,1997,5,3.0,59.05,174.5,55.75,36.25,43.25,0.075
Alpine Meadows,1997,5,4.0,52.725,175.4625,49.5,40.25,43.75,0.275
Alpine Meadows,1997,6,1.0,44.9857142857,178.0,54.4285714286,38.7142857143,43.5714285714,0.185714285714
Alpine Meadows,1997,6,2.0,35.5375,178.4125,61.0,41.125,48.375,0.0125
Alpine Meadows,1997,6,3.0,25.4125,179.375,48.25,39.5,43.25,0.45
Alpine Meadows,1997,6,4.0,17.4571428571,182.585714286,53.8571428571,40.5714285714,46.1428571429,0.214285714286
Alpine Meadows,1997,7,1.0,8.84285714286,184.314285714,62.5714285714,46.0,52.8571428571,0.242857142857
Alpine Meadows,1997,7,2.0,0.45,191.35,56.25,44.625,49.375,0.95
Alpine Meadows,1997,7,3.0,0.0,193.05,66.75,47.75,55.25,0.0375
Alpine Meadows,1997,7,4.0,0.0,193.2,68.5,47.25,55.5,0.0
Alpine Meadows,1997,8,1.0,0.0,193.2,74.1428571429,50.8571428571,60.7142857143,0.0
Alpine Meadows,1997,8,2.0,0.0,193.2,73.875,52.5,61.375,0.0
Alpine Meadows,1997,8,3.0,0.0,193.2,72.875,50.625,58.5,0.0
Alpine Meadows,1997,8,4.0,0.0,194.2,61.0,47.625,51.875,0.2625
Alpine Meadows,1997,9,1.0,0.0,195.3,65.2857142857,47.1428571429,53.4285714286,0.0
Alpine Meadows,1997,9,2.0,0.0,195.525,64.125,46.875,52.625,0.325
Alpine Meadows,1997,9,3.0,0.0,203.2125,65.625,47.125,52.75,0.8625
Alpine Meadows,1997,9,4.0,0.0,206.342857143,62.7142857143,45.7142857143,52.2857142857,0.557142857143
Alpine Meadows,1998,1,1.0,16.0857142857,58.6571428571,31.1428571429,25.0,28.1428571429,1.85714285714
Alpine Meadows,1998,1,2.0,24.925,68.075,29.875,19.625,24.375,0.8125
Alpine Meadows,1998,1,3.0,31.2375,74.9375,35.75,31.375,33.5,0.6125
Alpine Meadows,1998,1,4.0,33.425,80.0125,43.0,32.5,35.875,0.4375
Alpine Meadows,1998,10,1.0,0.0,9.83103448276,51.9310344828,37.0344827586,42.8275862069,0.434482758621
Alpine Meadows,1998,10,2.0,0.0,5.65,45.0,37.0,40.0,1.25
Alpine Meadows,1998,11,1.0,1.35714285714,25.9428571429,38.6428571429,31.6071428571,34.5714285714,0.946428571429
Alpine Meadows,1998,11,2.0,0.3,16.95,33.0,30.0,32.0,0.3
Alpine Meadows,1998,12,1.0,13.7931034483,57.775862069,33.275862069,25.1724137931,29.0689655172,1.07931034483
Alpine Meadows,1998,12,2.0,12.9,49.8,32.0,26.5,30.0,0.35
Alpine Meadows,1998,2,1.0,33.2428571429,81.5,44.1428571429,33.1428571429,36.8571428571,0.0285714285714
Alpine Meadows,1998,2,2.0,34.3625,83.1625,36.5,28.875,32.125,0.575
Alpine Meadows,1998,2,3.0,37.7625,87.4375,39.125,28.875,32.25,0.475
Alpine Meadows,1998,2,4.0,40.78,90.74,37.2,24.6,28.6,0.42
Alpine Meadows,1998,3,1.0,43.0285714286,93.9571428571,38.7142857143,24.4285714286,29.4285714286,0.371428571429
Alpine Meadows,1998,3,2.0,45.825,97.3875,45.875,33.5,36.875,0.525
Alpine Meadows,1998,3,3.0,46.9875,100.075,45.5,32.375,36.875,0.4125
Alpine Meadows,1998,3,4.0,48.2,105.475,40.25,26.875,31.375,0.6625
Alpine Meadows,1998,4,1.0,50.0285714286,107.785714286,40.8571428571,30.4285714286,33.5714285714,0.228571428571
Alpine Meadows,1998,4,2.0,51.9875,109.7875,45.5,27.875,33.625,0.1625
Alpine Meadows,1998,4,3.0,51.7625,110.5625,55.5,33.0,40.375,0.1625
Alpine Meadows,1998,4,4.0,49.4428571429,112.571428571,62.8571428571,37.7142857143,45.2857142857,0.157142857143
Alpine Meadows,1998,5,1.0,43.3571428571,112.871428571,56.5714285714,41.7142857143,46.5714285714,0.0142857142857
Alpine Meadows,1998,5,2.0,38.5125,113.6625,41.625,34.25,37.375,0.4375
Alpine Meadows,1998,5,3.0,36.7,117.625,50.0,36.375,41.5,0.25
Alpine Meadows,1998,5,4.0,32.65,121.4125,49.5,35.625,41.375,0.6
Alpine Meadows,1998,6,1.0,25.9571428571,123.2,60.2857142857,43.5714285714,49.2857142857,0.0428571428571
Alpine Meadows,1998,6,2.0,17.375,123.7,53.875,41.75,46.875,0.2625
Alpine Meadows,1998,6,3.0,10.825,125.85,56.5,42.625,48.5,0.0875
Alpine Meadows,1998,6,4.0,3.51428571429,128.585714286,59.1428571429,44.2857142857,50.2857142857,0.428571428571
Alpine Meadows,1998,7,1.0,0.0,129.642857143,60.4285714286,48.1428571429,53.0,0.1
Alpine Meadows,1998,7,2.0,0.0,130.15,62.75,46.75,53.125,0.05
Alpine Meadows,1998,7,3.0,0.0,130.5,74.875,52.625,61.625,0.025
Alpine Meadows,1998,7,4.0,0.0,130.6,78.125,57.375,65.625,0.0125
Alpine Meadows,1998,8,1.0,0.0,130.7,70.8571428571,50.8571428571,59.2857142857,0.0
Alpine Meadows,1998,8,2.0,0.0,130.7,73.875,50.375,59.5,0.0125
Alpine Meadows,1998,8,3.0,0.0,131.4125,59.625,44.625,51.0,0.0875
Alpine Meadows,1998,8,4.0,0.0,131.5,73.375,50.75,58.875,0.0
Alpine Meadows,1998,9,1.0,0.0,131.5,78.8571428571,52.7142857143,62.1428571429,0.0
Alpine Meadows,1998,9,2.0,0.0,131.5,66.875,46.0,53.25,0.0
Alpine Meadows,1998,9,3.0,0.0,131.8625,64.875,45.875,52.0,0.175
Alpine Meadows,1998,9,4.0,0.0,133.242857143,64.4285714286,45.0,51.1428571429,0.0571428571429
Alpine Meadows,1999,1,1.0,19.0714285714,74.3142857143,40.1428571429,31.0,33.8571428571,0.128571428571
Alpine Meadows,1999,1,2.0,20.7125,76.45,36.375,30.875,33.25,0.65
Alpine Meadows,1999,1,3.0,26.2625,86.0125,33.125,29.75,31.375,1.3875
Alpine Meadows,1999,1,4.0,36.7,96.9,31.6666666667,24.5,27.5,2.0
Alpine Meadows,1999,10,1.0,0.0,6.28620689655,53.9655172414,38.0689655172,43.4137931034,0.4
Alpine Meadows,1999,10,2.0,0.0,5.25,46.5,33.5,38.5,1.85
Alpine Meadows,1999,11,1.0,2.03928571429,27.2535714286,42.2857142857,33.3214285714,36.9285714286,0.896428571429
Alpine Meadows,1999,11,2.0,0.0,17.6,42.5,35.5,38.5,1.0
Alpine Meadows,1999,12,1.0,16.4103448276,63.9068965517,39.5172413793,31.8620689655,35.1034482759,1.10689655172
Alpine Meadows,1999,12,2.0,12.15,50.2,32.0,29.0,30.5,0.8
Alpine Meadows,1999,2,1.0,48.2,108.4,31.5714285714,26.0,28.8571428571,0.857142857143
Alpine Meadows,1999,2,2.0,53.25,113.45,33.75,22.625,27.5,0.2125
Alpine Meadows,1999,2,3.0,56.625,116.825,35.375,28.625,31.5,0.8
Alpine Meadows,1999,2,4.0,62.16,122.36,36.6,28.4,32.8,1.1
Alpine Meadows,1999,3,1.0,67.9428571429,128.142857143,38.1428571429,23.8571428571,28.7142857143,0.557142857143
Alpine Meadows,1999,3,2.0,70.5375,130.7375,41.125,27.375,31.5,0.35
Alpine Meadows,1999,3,3.0,73.1625,133.3625,50.5,30.125,36.5,0.1875
Alpine Meadows,1999,3,4.0,76.675,136.875,38.375,25.125,29.625,0.625
Alpine Meadows,1999,4,1.0,79.8714285714,140.071428571,43.1428571429,25.0,31.0,0.271428571429
Alpine Meadows,1999,4,2.0,81.7,141.9,48.0,26.625,34.5,0.1375
Alpine Meadows,1999,4,3.0,85.1625,142.875,52.125,32.625,39.375,0.1875
Alpine Meadows,1999,4,4.0,83.6714285714,144.214285714,51.5714285714,30.7142857143,37.5714285714,0.128571428571
Alpine Meadows,1999,5,1.0,82.2428571429,147.042857143,41.7142857143,28.4285714286,32.7142857143,0.728571428571
Alpine Meadows,1999,5,2.0,84.2,150.5625,44.875,29.5,34.125,0.2125
Alpine Meadows,1999,5,3.0,87.225,154.0,52.375,34.5,41.0,0.45
Alpine Meadows,1999,5,4.0,80.2375,155.075,57.5,35.125,44.75,0.1375
Alpine Meadows,1999,6,1.0,70.8142857143,157.428571429,45.4285714286,32.4285714286,37.4285714286,0.585714285714
Alpine Meadows,1999,6,2.0,63.4125,160.4625,62.0,39.625,47.625,0.0375
Alpine Meadows,1999,6,3.0,46.1142857143,161.271428571,48.7142857143,38.5714285714,42.4285714286,0.442857142857
Alpine Meadows,1999,6,4.0,35.7285714286,166.342857143,47.1428571429,38.0,41.8571428571,0.571428571429
Alpine Meadows,1999,7,1.0,26.7285714286,170.385714286,53.8571428571,38.1428571429,44.4285714286,0.6
Alpine Meadows,1999,7,2.0,11.925,171.8375,67.0,43.875,53.5,0.0375
Alpine Meadows,1999,7,3.0,2.01428571429,173.185714286,64.7142857143,45.8571428571,53.1428571429,0.185714285714
Alpine Meadows,1999,7,4.0,0.0,173.4625,68.5,47.125,54.75,0.0125
Alpine Meadows,1999,8,1.0,0.0,173.571428571,71.1428571429,51.5714285714,58.8571428571,0.114285714286
Alpine Meadows,1999,8,2.0,0.0,174.625,58.75,46.75,51.125,0.325
Alpine Meadows,1999,8,3.0,0.0,177.125,73.125,50.375,58.75,0.05
Alpine Meadows,1999,8,4.0,0.0,177.425,65.5,47.0,54.125,0.025
Alpine Meadows,1999,9,1.0,0.0,177.557142857,60.2857142857,41.2857142857,48.5714285714,0.0285714285714
Alpine Meadows,1999,9,2.0,0.0,177.7,72.375,47.0,56.25,0.0
Alpine Meadows,1999,9,3.0,0.0,177.7,71.25,49.75,57.0,0.0
Alpine Meadows,1999,9,4.0,0.0,177.7,52.8571428571,36.5714285714,42.2857142857,0.0
Alpine Meadows,2000,1,1.0,25.4285714286,80.7428571429,31.1428571429,25.8571428571,28.5714285714,1.14285714286
Alpine Meadows,2000,1,2.0,34.525,90.1,29.875,23.75,26.375,1.25
Alpine Meadows,2000,1,3.0,39.45,95.2375,36.625,26.375,29.5,0.375
Alpine Meadows,2000,1,4.0,42.175,97.8375,40.75,26.75,30.625,0.2375
Alpine Meadows,2000,10,1.0,0.0,4.48095238095,48.9047619048,36.0476190476,40.7142857143,0.347619047619
Alpine Meadows,2000,11,1.0,1.71428571429,10.9357142857,40.7142857143,28.7142857143,32.4642857143,0.357142857143
Alpine Meadows,2000,11,2.0,0.75,9.6,35.5,27.0,30.0,0.5
Alpine Meadows,2000,12,1.0,10.8034482759,23.2068965517,37.3793103448,27.7586206897,31.724137931,0.389655172414
Alpine Meadows,2000,12,2.0,6.9,19.65,36.0,27.5,30.0,0.35
Alpine Meadows,2000,2,1.0,47.0142857143,102.785714286,44.2857142857,31.8571428571,35.1428571429,0.714285714286
Alpine Meadows,2000,2,2.0,47.5,105.425,36.25,25.75,29.75,0.3375
Alpine Meadows,2000,2,3.0,48.4125,106.95,43.0,28.125,32.375,0.225
Alpine Meadows,2000,2,4.0,51.55,109.266666667,39.0,28.1666666667,31.5,0.55
Alpine Meadows,2000,3,1.0,55.1142857143,113.128571429,37.5714285714,26.5714285714,30.7142857143,0.328571428571
Alpine Meadows,2000,3,2.0,55.6125,114.475,41.375,27.375,32.375,0.1625
Alpine Meadows,2000,3,3.0,61.4875,118.975,37.0,27.625,31.875,0.9125
Alpine Meadows,2000,3,4.0,63.9125,123.725,48.0,27.625,34.125,0.3
Alpine Meadows,2000,4,1.0,62.9,126.114285714,50.5714285714,30.4285714286,37.1428571429,0.542857142857
Alpine Meadows,2000,4,2.0,60.75,129.9375,54.625,35.0,40.625,0.825
Alpine Meadows,2000,4,3.0,56.875,135.625,52.75,32.0,38.875,0.175
Alpine Meadows,2000,4,4.0,55.7857142857,137.414285714,49.7142857143,30.1428571429,37.0,0.157142857143
Alpine Meadows,2000,5,1.0,54.1428571429,139.4,47.7142857143,32.4285714286,37.1428571429,0.371428571429
Alpine Meadows,2000,5,2.0,54.5125,143.375,50.5,33.875,39.0,0.525
Alpine Meadows,2000,5,3.0,51.75,146.0875,53.25,36.75,42.875,0.3625
Alpine Meadows,2000,5,4.0,45.4125,149.0625,46.25,35.25,39.75,0.4625
Alpine Meadows,2000,6,1.0,39.0428571429,151.557142857,62.1428571429,40.0,48.2857142857,0.1
Alpine Meadows,2000,6,2.0,31.4125,155.2875,46.75,37.25,41.375,0.875
Alpine Meadows,2000,6,3.0,21.225,159.3375,60.0,40.375,49.0,0.05
Alpine Meadows,2000,6,4.0,8.27142857143,159.757142857,70.7142857143,48.8571428571,58.1428571429,0.0571428571429
Alpine Meadows,2000,7,1.0,0.0,161.085714286,53.2857142857,39.2857142857,45.4285714286,0.285714285714
Alpine Meadows,2000,7,2.0,0.0,161.9,59.0,43.625,50.375,0.0
Alpine Meadows,2000,7,3.0,0.0,162.0375,68.25,48.375,56.25,0.175
Alpine Meadows,2000,7,4.0,0.0,163.3,69.875,49.625,57.375,0.0
Alpine Meadows,2000,8,1.0,0.0,163.3,72.4285714286,49.4285714286,58.5714285714,0.0
Alpine Meadows,2000,8,2.0,0.0,163.35,62.375,44.0,51.125,0.0125
Alpine Meadows,2000,8,3.0,0.0,164.0,66.0,45.25,52.75,0.1375
Alpine Meadows,2000,8,4.0,0.0,164.775,58.375,44.25,49.75,0.15
Alpine Meadows,2000,9,1.0,0.0,166.271428571,55.1428571429,39.8571428571,45.1428571429,0.3
Alpine Meadows,2000,9,2.0,0.0,171.55,63.125,44.25,51.375,0.5875
Alpine Meadows,2000,9,3.0,0.0,173.0875,57.25,43.375,48.875,0.1375
Alpine Meadows,2000,9,4.0,0.0,173.675,73.25,47.25,55.25,0.025
Alpine Meadows,2001,1,1.0,14.6857142857,31.7714285714,43.5714285714,33.1428571429,37.7142857143,0.371428571429
Alpine Meadows,2001,1,2.0,14.9125,34.025,35.375,27.75,30.375,0.175
Alpine Meadows,2001,1,3.0,15.975,35.8,39.875,28.625,32.625,0.325
Alpine Meadows,2001,1,4.0,16.6125,37.975,38.5,27.875,31.375,0.45
Alpine Meadows,2001,10,1.0,0.51724137931,8.42413793103,47.7586206897,34.8965517241,39.8620689655,0.668965517241
Alpine Meadows,2001,10,2.0,0.0,0.85,45.0,34.0,37.5,0.6
Alpine Meadows,2001,11,1.0,1.42857142857,30.4964285714,40.75,33.2857142857,36.3214285714,0.921428571429
Alpine Meadows,2001,11,2.0,0.0,23.0,60.0,39.5,45.0,0.0
Alpine Meadows,2001,12,1.0,25.3517241379,62.6344827586,35.3448275862,27.7931034483,30.7931034483,0.786206896552
Alpine Meadows,2001,12,2.0,19.6,54.3,32.5,25.5,29.0,0.9
Alpine Meadows,2001,2,1.0,21.6142857143,42.6571428571,33.5714285714,24.8571428571,28.2857142857,0.557142857143
Alpine Meadows,2001,2,2.0,22.4625,45.475,38.0,22.5,27.25,0.2125
Alpine Meadows,2001,2,3.0,24.05,47.275,43.625,29.125,32.875,0.1875
Alpine Meadows,2001,2,4.0,24.84,48.16,47.0,25.4,31.4,0.04
Alpine Meadows,2001,3,1.0,25.4857142857,49.2142857143,48.7142857143,29.1428571429,35.4285714286,0.185714285714
Alpine Meadows,2001,3,2.0,27.775,50.5875,35.5,29.125,31.375,0.425
Alpine Meadows,2001,3,3.0,30.0875,55.0625,47.75,29.125,35.25,0.425
Alpine Meadows,2001,3,4.0,31.35,59.1875,40.625,29.625,33.875,1.0875
Alpine Meadows,2001,4,1.0,35.2285714286,66.3857142857,39.7142857143,26.1428571429,30.0,0.557142857143
Alpine Meadows,2001,4,2.0,39.45,70.7,42.5,26.5,31.75,0.425
Alpine Meadows,2001,4,3.0,41.9125,73.5125,48.875,31.875,37.5,0.375
Alpine Meadows,2001,4,4.0,40.8428571429,75.8,51.0,34.1428571429,40.7142857143,0.542857142857
Alpine Meadows,2001,5,1.0,42.5714285714,80.7571428571,50.4285714286,31.0,37.5714285714,0.428571428571
Alpine Meadows,2001,5,2.0,41.4125,82.625,55.375,34.375,42.5,0.5875
Alpine Meadows,2001,5,3.0,37.05,86.9875,57.75,36.875,45.375,0.0375
Alpine Meadows,2001,5,4.0,28.2,87.3875,61.375,39.375,48.75,0.1
Alpine Meadows,2001,6,1.0,22.4142857143,89.8285714286,49.4285714286,35.5714285714,41.0,0.414285714286
Alpine Meadows,2001,6,2.0,16.925,93.025,48.125,36.5,41.0,0.5125
Alpine Meadows,2001,6,3.0,10.3625,94.9,61.5,41.875,50.0,0.0
