Year,Month,WeekNum,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1981,5,1.0,35.0222222222,46.6666666667,32.0,32.0,21.4111111111,0.116666666667
1981,5,2.0,40.6357142857,45.2857142857,32.0,32.0,18.4142857143,0.1375
1981,5,3.0,44.58125,44.33125,32.0,32.0,16.13125,0.35
1981,5,4.0,44.375,45.21875,32.0,32.0,16.03125,0.05
1981,6,1.0,44.8857142857,45.5571428571,32.0,32.0,16.1357142857,0.328571428571
1981,6,2.0,38.9571428571,50.1928571429,32.0,32.0,18.2857142857,0.425
1981,6,3.0,0.0,65.6125,32.0,32.0,32.0,0.275
1981,6,4.0,0.0,67.1285714286,32.0,32.0,32.0,0.142857142857
1981,7,1.0,0.0,68.45,32.0,32.0,32.0,0.0
1981,7,2.0,0.0,69.85,32.0,32.0,32.0,0.3375
1981,7,3.0,26.2909090909,61.5454545455,32.0,32.0,23.2909090909,0.125
1981,7,4.0,45.08,53.9133333333,32.0,32.0,17.0666666667,0.05
1981,8,1.0,48.3,52.6785714286,32.0,32.0,16.0,0.0142857142857
1981,8,2.0,48.3,52.7,32.0,32.0,16.0,0.0
1981,8,3.0,48.3,52.78125,32.0,32.0,16.0,0.0375
1981,8,4.0,48.4142857143,52.9357142857,32.0,32.0,16.05,0.1
1981,9,1.0,0.0,74.56,32.0,32.0,32.0,0.04
1981,9,2.0,0.0,74.6714285714,32.0,32.0,32.0,0.0142857142857
1981,9,3.0,0.0,75.425,32.0,32.0,32.0,0.2875
1981,9,4.0,0.0,78.0333333333,32.0,32.0,32.0,0.183333333333
1982,1,1.0,25.4923076923,45.0384615385,22.5384615385,27.5384615385,21.1538461538,0.238461538462
1982,1,2.0,27.5375,47.3875,20.4375,13.75,16.625,0.35
1982,1,3.0,32.9666666667,49.4666666667,15.5,8.16666666667,11.5833333333,0.116666666667
1982,1,4.0,39.825,57.175,19.625,13.5,15.9375,0.44375
1982,10,1.0,2.36769230769,23.3369230769,36.9230769231,33.0769230769,17.88,0.57027027027
1982,10,2.0,1.8,33.7333333333,33.3333333333,35.0,7.76666666667,0.0
1982,11,1.0,13.3272727273,26.7909090909,27.5636363636,24.4545454545,10.78,0.718518518519
1982,11,2.0,13.8333333333,31.0333333333,27.0,26.6666666667,8.8,0.2
1982,12,1.0,36.9,35.3128205128,18.9230769231,14.0,-4.21282051282,1.73333333333
1982,12,2.0,37.95,38.0,27.0,33.0,1.1,
1982,2,1.0,43.1857142857,59.7571428571,12.5714285714,1.57142857143,6.42857142857,0.171428571429
1982,2,2.0,44.2625,61.99375,19.0625,8.5,13.375,1.7
1982,2,3.0,49.8363636364,79.4,22.5454545455,9.0,14.8181818182,1.30909090909
1982,2,4.0,48.89,83.45,28.8,11.9,18.0,0.28
1982,3,1.0,51.9307692308,86.1923076923,26.5384615385,13.2307692308,18.3076923077,0.392307692308
1982,3,2.0,53.4733333333,90.64,24.9333333333,7.26666666667,15.2,0.686666666667
1982,3,3.0,49.025,90.6625,29.625,15.625,22.625,0.0375
1982,3,4.0,51.3444444444,92.6444444444,29.5555555556,20.3333333333,24.5555555556,0.155555555556
1982,4,1.0,57.9428571429,95.9,29.6428571429,17.7142857143,22.4285714286,0.335714285714
1982,4,2.0,61.1285714286,99.3428571429,9.14285714286,-5.0,5.49285714286,0.761538461538
1982,4,3.0,64.5785714286,103.721428571,-2.57142857143,-20.9285714286,-11.9285714286,0.0785714285714
1982,4,4.0,63.9333333333,104.166666667,38.3333333333,22.4166666667,29.25,0.175
1982,5,1.0,63.7571428571,105.371428571,38.9285714286,25.7142857143,31.9285714286,0.15
1982,5,2.0,61.375,106.10625,42.375,27.6875,33.875,0.025
1982,5,3.0,55.12,106.786666667,48.2666666667,30.4666666667,37.9333333333,0.06
1982,6,3.0,16.05,107.05,2.5,-9.0,-3.5,0.0
1982,7,3.0,0.0,102.4,-58.0,-58.0,-58.0,0.0
1982,7,4.0,0.0,109.24,62.0,41.6,51.0,0.5
1982,8,1.0,0.0,108.433333333,59.1111111111,42.1111111111,49.4444444444,0.0222222222222
1982,8,2.0,0.0,111.688888889,27.6666666667,14.0,20.4444444444,0.133333333333
1982,8,3.0,0.0,109.06,66.8,46.8,56.4,0.0
1982,8,4.0,0.0,109.928571429,61.7142857143,41.1428571429,50.5714285714,0.0142857142857
1982,9,1.0,0.0,111.728571429,60.4285714286,39.5714285714,49.2857142857,0.1
1982,9,2.0,0.0,112.077777778,47.3333333333,33.0,40.4444444444,0.222222222222
1982,9,3.0,0.0,115.611111111,55.6666666667,34.6666666667,43.8888888889,0.211111111111
1982,9,4.0,0.0,115.114285714,41.8571428571,31.0,36.4285714286,0.114285714286
1983,1,1.0,60.2571428571,39.0,31.8571428571,35.4285714286,2.01428571429,
1983,1,2.0,44.4421052632,52.7263157895,18.7368421053,16.9473684211,3.08421052632,0.0636363636364
1983,1,3.0,41.9041666667,52.325,31.3333333333,27.625,18.7875,0.425
1983,1,4.0,67.8,45.0666666667,31.5555555556,34.7777777778,7.5,0.55
1983,10,1.0,0.0,0.900740740741,38.8814814815,28.0444444444,32.9244444444,0.1
1983,10,2.0,0.0,0.12,38.6,28.6,33.1,0.0
1983,11,1.0,4.13759398496,17.0353383459,33.007518797,27.4736842105,30.2789473684,0.835606060606
1983,11,2.0,0.83,10.51,33.5,26.7,30.7,0.29
1983,12,1.0,14.6327731092,30.9226890756,28.7478991597,23.5882352941,26.0529411765,0.350847457627
1983,12,2.0,12.0,26.7125,32.125,26.125,31.125,0.825
1983,2,1.0,30.85,65.8875,38.75,40.25,60.75,0.35
1983,2,2.0,86.4714285714,41.5714285714,39.7142857143,40.5714285714,0.814285714286,
1983,2,3.0,40.9375,78.9625,35.0,30.25,32.25,0.65
1983,2,4.0,69.5625,56.4,32.0,32.0,16.1625,0.55
1983,3,1.0,99.0,32.0,32.0,32.0,0.1,
1983,3,2.0,62.6727272727,72.9272727273,32.0,32.0,23.4,1.0625
1983,3,3.0,114.1,32.0,32.0,32.0,0.0,
1983,3,4.0,60.0888888889,84.9944444444,32.2222222222,32.1666666667,25.2166666667,0.921428571429
1983,4,1.0,76.680952381,77.9904761905,31.7619047619,32.0,21.8428571429,0.15
1983,4,2.0,77.7375,82.3541666667,33.0833333333,34.0,21.4041666667,0.1875
1983,4,3.0,78.1086956522,80.0739130435,30.652173913,32.347826087,20.9304347826,0.0933333333333
1983,4,4.0,76.1380952381,82.9333333333,32.3333333333,33.5238095238,21.3428571429,0.0357142857143
1983,5,1.0,73.9571428571,83.1285714286,32.1904761905,33.2857142857,21.4857142857,0.421428571429
1983,5,2.0,73.9958333333,85.7958333333,31.7916666667,33.125,21.4458333333,0.325
1983,5,3.0,72.1791666667,86.5916666667,32.2916666667,33.5,21.3333333333,0.0
1983,5,4.0,63.4541666667,87.5083333333,31.4166666667,33.0833333333,21.3333333333,0.0
1983,6,1.0,55.6333333333,87.419047619,31.8095238095,33.1428571429,21.3333333333,0.0
1983,6,2.0,49.9,86.7666666667,30.875,32.2083333333,21.4458333333,0.1875
1983,6,3.0,44.2869565217,87.5652173913,29.8695652174,30.6086956522,22.3434782609,0.20625
1983,6,4.0,47.6047619048,90.1047619048,29.619047619,32.1904761905,21.3904761905,0.0571428571429
1983,7,1.0,51.11,93.52,34.8,37.05,20.935,0.123076923077
1983,7,2.0,49.1125,93.025,32.875,35.0416666667,21.4458333333,0.125
1983,7,3.0,51.9608695652,89.3086956522,31.8695652174,33.0869565217,20.8826086957,0.0533333333333
1983,7,4.0,52.0217391304,91.8913043478,31.9130434783,33.652173913,20.8739130435,0.0
1983,8,1.0,49.8666666667,93.919047619,33.0476190476,35.380952381,21.3333333333,0.0
1983,8,2.0,52.0347826087,97.9347826087,37.0,40.3043478261,20.8695652174,0.0
1983,8,3.0,49.8666666667,95.1333333333,34.0416666667,36.75,21.3333333333,0.0
1983,8,4.0,55.0681818182,93.2636363636,34.2272727273,36.3636363636,20.5454545455,0.478571428571
1983,9,1.0,53.94,94.155,33.9,35.55,20.83,0.0307692307692
1983,9,2.0,69.15,90.0666666667,36.3888888889,39.0,17.8888888889,0.39
1983,9,3.0,78.425,86.7875,36.25,39.375,16.0625,0.0625
1983,9,4.0,68.825,87.66875,37.875,38.5,17.95,0.0
1984,1,1.0,17.9323529412,39.6117647059,40.3235294118,33.3235294118,36.5294117647,0.379411764706
1984,1,2.0,17.2911764706,39.3617647059,32.1470588235,23.4705882353,28.8235294118,0.132352941176
1984,1,3.0,18.5363636364,42.2575757576,29.0303030303,23.0606060606,24.0515151515,0.393333333333
1984,1,4.0,19.5368421053,46.3868421053,37.3684210526,29.5789473684,33.3157894737,0.413157894737
1984,10,1.0,1.29865771812,9.8033557047,38.8859060403,28.8926174497,31.3073825503,0.222222222222
1984,10,2.0,0.0571428571429,8.91428571429,103.857142857,95.4285714286,93.5,0.55
1984,11,1.0,10.7335294118,21.5041176471,33.6411764706,26.3647058824,28.7035294118,0.569655172414
1984,11,2.0,8.74166666667,17.35,23.75,20.0833333333,22.6916666667,0.71
1984,12,1.0,22.5662251656,34.5701986755,25.1721854305,13.9536423841,21.2682119205,0.397037037037
1984,12,2.0,19.9666666667,31.5166666667,24.8333333333,14.3333333333,22.4166666667,0.95
1984,2,1.0,18.9647058824,48.1323529412,42.5588235294,30.7941176471,35.9411764706,0.0647058823529
1984,2,2.0,20.9108108108,48.8540540541,33.5675675676,25.8108108108,30.6216216216,0.6
1984,2,3.0,23.4315789474,52.5552631579,32.8157894737,25.0,29.6052631579,0.276315789474
1984,2,4.0,26.2571428571,58.8892857143,32.75,23.1428571429,27.2321428571,0.25
1984,3,1.0,28.6166666667,63.62,43.0,25.1666666667,33.2666666667,0.1
1984,3,2.0,26.6513513514,59.0864864865,38.4864864865,26.6216216216,32.2432432432,0.427027027027
1984,3,3.0,29.6578947368,62.4605263158,35.5526315789,25.3947368421,31.0789473684,0.536842105263
1984,3,4.0,32.9051282051,67.8,38.1794871795,24.9487179487,30.2820512821,0.238461538462
1984,4,1.0,33.109375,67.528125,35.46875,24.53125,29.28125,0.19375
1984,4,2.0,34.2055555556,68.3944444444,36.5833333333,25.4444444444,31.0,0.430555555556
1984,4,3.0,34.4416666667,70.0583333333,38.1388888889,25.3055555556,30.9722222222,0.0805555555556
1984,4,4.0,35.0227272727,58.2409090909,34.9545454545,23.5454545455,28.6363636364,0.127272727273
1984,5,1.0,35.5782608696,63.9608695652,36.5652173913,26.8260869565,30.8260869565,0.352173913043
1984,5,2.0,34.0269230769,68.0846153846,39.4615384615,29.2692307692,33.6153846154,0.215384615385
1984,5,3.0,28.1481481481,69.7074074074,39.7777777778,29.2592592593,33.962962963,0.17037037037
1984,5,4.0,21.9041666667,64.9125,43.5833333333,30.5,36.5,0.0666666666667
1984,6,1.0,12.628,69.12,40.36,29.56,33.336,0.1625
1984,6,2.0,6.61923076923,66.6615384615,46.7692307692,32.1923076923,38.9615384615,0.0846153846154
1984,6,3.0,3.62692307692,70.3153846154,48.8846153846,32.6538461538,40.6153846154,0.173076923077
1984,6,4.0,0.0866666666667,88.4666666667,56.6666666667,38.6,47.4,0.02
1984,7,1.0,1.43333333333,108.5,63.4166666667,34.1666666667,48.1666666667,0.0
1984,7,2.0,0.1,110.829411765,67.1176470588,37.0,51.6470588235,0.0
1984,7,3.0,0.0,84.0625,70.9375,39.9375,50.6875,0.0
1984,7,4.0,0.0,75.7263157895,73.6315789474,45.8421052632,58.8947368421,0.0210526315789
1984,8,1.0,0.0,80.1105263158,66.8947368421,41.2631578947,53.2105263158,0.0368421052632
1984,8,2.0,0.0,80.9791666667,72.8333333333,42.7083333333,56.5416666667,0.025
1984,8,3.0,0.0,76.0096774194,71.1612903226,43.5161290323,55.5161290323,0.0193548387097
1984,8,4.0,0.0,83.9485714286,65.4857142857,39.2571428571,51.6857142857,0.0342857142857
1984,9,1.0,0.0,86.6333333333,62.0,39.7,41.2233333333,0.316
1984,9,2.0,5.02727272727,85.5568181818,56.0909090909,36.6136363636,39.4795454545,0.0540540540541
1984,9,3.0,9.67608695652,81.7239130435,56.9782608696,40.8913043478,37.4347826087,0.177142857143
1984,9,4.0,10.4763157895,79.9605263158,49.7105263158,33.6052631579,29.7631578947,0.0037037037037
1985,1,1.0,30.4771428571,41.0685714286,24.4,14.8857142857,20.3171428571,0.0321428571429
1985,1,2.0,31.0514285714,38.1485714286,42.8,35.4571428571,33.8742857143,0.0576923076923
1985,1,3.0,31.4473684211,42.2026315789,54.2631578947,47.8157894737,44.9236842105,0.04
1985,1,4.0,31.7317073171,40.0682926829,25.8048780488,18.2195121951,21.0024390244,0.030303030303
1985,10,1.0,0.188311688312,4.30865800866,41.5281385281,32.4458874459,36.6666666667,0.441125541126
1985,10,2.0,0.0,0.675,37.875,24.75,30.5625,0.0125
1985,11,1.0,3.74239631336,20.4244239631,29.1751152074,20.4193548387,24.7649769585,0.369585253456
1985,11,2.0,1.5375,18.3625,31.25,25.625,28.8125,0.775
1985,12,1.0,9.36803652968,27.8890410959,40.6803652968,27.8904109589,33.6621004566,0.151598173516
1985,12,2.0,9.00625,28.19375,33.5625,24.5625,28.6875,0.09375
1985,2,1.0,32.6666666667,42.9928571429,13.2857142857,4.7380952381,9.84761904762,0.322857142857
1985,2,2.0,36.5,47.432,30.98,21.56,23.588,0.597619047619
1985,2,3.0,37.8745454545,48.5145454545,47.0545454545,39.1818181818,38.0436363636,0.193617021277
1985,2,4.0,37.3166666667,47.36,41.8666666667,29.7666666667,29.5466666667,0.072
1985,3,1.0,38.011627907,47.1627906977,25.7674418605,17.3255813953,17.5906976744,0.25
1985,3,2.0,40.7897959184,53.7714285714,39.306122449,24.0,25.7142857143,0.0243902439024
1985,3,3.0,40.7166666667,52.1666666667,34.5714285714,20.8571428571,23.0642857143,0.467647058824
1985,3,4.0,45.6977777778,56.4377777778,27.9777777778,18.2888888889,19.4711111111,0.489189189189
1985,4,1.0,46.769047619,63.4357142857,43.7857142857,30.2380952381,30.7261904762,0.0885714285714
1985,4,2.0,41.5698113208,62.7830188679,50.9811320755,34.3018867925,36.4905660377,0.126666666667
1985,4,3.0,38.4125,58.6035714286,30.625,19.4642857143,21.6857142857,0.404166666667
1985,4,4.0,40.6608695652,61.9804347826,36.4130434783,23.2826086957,24.997826087,0.264102564103
1985,5,1.0,37.8666666667,63.8377777778,42.2,28.6666666667,29.5911111111,0.139473684211
1985,5,2.0,35.0395833333,62.8604166667,39.7916666667,25.2916666667,27.0541666667,0.085
1985,5,3.0,29.6181818182,66.7545454545,56.5681818182,40.0227272727,40.2272727273,0.025
1985,5,4.0,21.5083333333,63.125,47.1875,35.4166666667,33.15,0.11
1985,6,1.0,19.630952381,64.3714285714,45.7619047619,36.5,33.3023809524,0.68
1985,6,2.0,16.3907407407,73.0074074074,55.5185185185,39.3333333333,39.4814814815,0.0244444444444
1985,6,3.0,12.4690909091,75.8327272727,62.0727272727,43.9636363636,44.8363636364,0.0170212765957
1985,6,4.0,12.0042553191,74.8723404255,54.7872340426,35.2340425532,38.5744680851,0.0
1985,7,1.0,11.5142857143,75.8571428571,67.9387755102,48.612244898,50.1020408163,0.0
1985,7,2.0,12.6431372549,79.0196078431,67.1568627451,50.8431372549,49.5490196078,0.0
1985,7,3.0,13.1591836735,81.8285714286,68.2040816327,52.7551020408,50.5510204082,0.0
1985,7,4.0,4.03,86.3575,68.9,49.025,55.4,0.0789473684211
1985,8,1.0,0.0,86.85,58.5882352941,38.5588235294,48.6176470588,0.155882352941
1985,8,2.0,0.0,85.2658536585,59.1707317073,34.4634146341,47.8536585366,0.0268292682927
1985,8,3.0,0.0,81.9627906977,67.2325581395,43.7906976744,53.0465116279,0.0046511627907
1985,8,4.0,0.0,80.7619047619,71.7857142857,50.0,59.7857142857,0.0357142857143
1985,9,1.0,0.0,80.3236842105,55.6052631579,39.6578947368,46.6842105263,0.234210526316
1985,9,2.0,13.102173913,83.0456521739,46.5434782609,39.6086956522,35.8456521739,0.425641025641
1985,9,3.0,15.3391304348,89.5304347826,51.5434782609,38.8913043478,36.4369565217,0.147368421053
1985,9,4.0,12.6571428571,89.6380952381,58.8571428571,42.7380952381,41.8333333333,0.00277777777778
1986,1,1.0,11.8160714286,30.6607142857,36.3928571429,25.9285714286,31.2678571429,0.505357142857
1986,1,2.0,12.978125,33.7625,43.4375,32.359375,37.234375,0.31875
1986,1,3.0,14.1206349206,38.8142857143,35.5873015873,27.9365079365,32.3333333333,0.904761904762
1986,1,4.0,16.7333333333,43.019047619,39.5238095238,29.6825396825,34.3174603175,0.307936507937
1986,10,1.0,0.030985915493,9.98063380282,56.5246478873,42.4154929577,41.1091549296,0.183189655172
1986,10,2.0,0.02,11.96,62.45,45.15,42.75,0.0
1986,11,1.0,1.82230215827,15.2521582734,38.0179856115,28.7985611511,28.1748201439,0.596428571429
1986,11,2.0,0.79,9.95,28.0,18.25,21.85,0.1375
1986,12,1.0,6.55659722222,26.3354166667,33.2395833333,24.9479166667,24.6013888889,0.318965517241
1986,12,2.0,5.11,22.48,30.2,19.1,21.8,0.075
1986,2,1.0,17.6909090909,46.1945454545,35.5818181818,25.5636363636,29.8545454545,0.36
1986,2,2.0,17.7609375,48.0203125,32.921875,20.5,25.671875,0.425
1986,2,3.0,20.7360655738,52.3196721311,33.4262295082,20.4262295082,26.8196721311,0.87868852459
1986,2,4.0,20.4263157895,58.9289473684,50.2105263158,35.8684210526,42.4210526316,0.207894736842
1986,3,1.0,18.2909090909,59.5127272727,48.9272727273,33.8545454545,40.3090909091,0.274545454545
1986,3,2.0,17.4209677419,62.9758064516,37.0,26.2258064516,30.2903225806,0.396774193548
1986,3,3.0,17.9873015873,65.0968253968,41.8888888889,27.126984127,33.3333333333,0.339682539683
1986,3,4.0,17.9634920635,67.9587301587,43.6666666667,27.7619047619,35.4444444444,0.193650793651
1986,4,1.0,16.2314814815,68.7574074074,48.7777777778,31.3148148148,39.0925925926,0.0407407407407
1986,4,2.0,13.6790322581,69.4322580645,40.7419354839,28.9838709677,34.5,0.212903225806
1986,4,3.0,13.0546875,71.296875,45.640625,30.40625,38.125,0.128125
1986,4,4.0,12.5363636364,73.0745454545,37.6,25.7454545455,31.7090909091,0.4
1986,5,1.0,11.7339285714,74.9767857143,42.8035714286,31.8928571429,36.7678571429,0.182142857143
1986,5,2.0,9.96031746032,76.4857142857,41.9523809524,30.1746031746,35.3015873016,0.257142857143
1986,5,3.0,8.19682539683,77.9095238095,49.9206349206,33.6507936508,41.0158730159,0.0904761904762
1986,5,4.0,5.19047619048,78.3904761905,68.2222222222,48.0476190476,57.4603174603,0.0015873015873
1986,6,1.0,0.665573770492,79.6524590164,69.1803278689,53.606557377,49.4426229508,0.00819672131148
1986,6,2.0,0.0,79.7869565217,64.2173913043,42.2753623188,53.0289855072,0.00869565217391
1986,6,3.0,0.0,80.8041666667,54.2777777778,39.4583333333,46.5555555556,0.138888888889
1986,6,4.0,0.0,81.0741935484,62.4032258065,43.4193548387,52.7580645161,0.00645161290323
1986,7,1.0,0.0,81.4714285714,56.4126984127,39.5873015873,47.1904761905,0.0746031746032
1986,7,2.0,0.0,82.2563380282,53.3802816901,40.2112676056,45.8450704225,0.140845070423
1986,7,3.0,0.0,83.1125,60.1527777778,41.7083333333,50.2916666667,0.0555555555556
1986,7,4.0,0.0,83.2597222222,60.5277777778,41.4027777778,49.9583333333,0.00277777777778
1986,8,1.0,0.0,83.2841269841,74.126984127,52.0317460317,62.5714285714,0.0047619047619
1986,8,2.0,0.0,83.0608695652,74.4637681159,51.6666666667,62.3188405797,0.00289855072464
1986,8,3.0,0.0,83.2549295775,74.1549295775,50.5352112676,61.4366197183,0.00281690140845
1986,8,4.0,0.0,83.0720588235,71.1176470588,52.6617647059,60.4705882353,0.0352941176471
1986,9,1.0,0.0,83.286440678,72.7966101695,50.4406779661,60.8813559322,0.0203389830508
1986,9,2.0,0.0,84.0884057971,54.9130434783,38.3768115942,45.9420289855,0.130434782609
1986,9,3.0,0.0,85.3028571429,53.1,36.9,43.5571428571,0.291428571429
1986,9,4.0,0.0,88.5580645161,44.8387096774,32.6612903226,40.0967741935,0.406451612903
1987,1,1.0,12.1642857143,32.6671428571,29.4285714286,22.5571428571,21.9057142857,0.517857142857
1987,1,2.0,13.71625,33.84125,29.65,20.0875,21.4775,0.340625
1987,1,3.0,15.14875,35.705,32.6375,20.775,22.7925,0.0873015873016
1987,1,4.0,17.7602564103,39.5525641026,33.358974359,26.2307692308,25.7846153846,1.1453125
1987,10,1.0,0.0,0.0357320099256,53.7518610422,38.4987593052,45.5682382134,0.014888337469
1987,10,2.0,0.0,0.0,55.75,38.7142857143,47.75,0.0
1987,11,1.0,0.818489583333,3.64036458333,38.2369791667,31.3359375,34.5338541667,0.26796875
1987,11,2.0,0.0,0.855555555556,42.5185185185,36.0740740741,39.1481481481,0.12962962963
1987,12,1.0,7.50740740741,19.3944444444,30.9100529101,23.0608465608,27.0793650794,0.393650793651
1987,12,2.0,5.68571428571,16.075,35.6071428571,27.0357142857,31.5357142857,2.03928571429
1987,2,1.0,21.1705882353,47.1941176471,41.2941176471,32.1029411765,30.6705882353,0.142857142857
1987,2,2.0,20.7294871795,48.3564102564,40.9487179487,32.5384615385,30.1666666667,0.3984375
1987,2,3.0,22.7275,48.62875,33.5125,24.65,23.8875,0.2203125
1987,2,4.0,23.506,48.784,30.9,19.68,20.948,0.22
1987,3,1.0,25.2228571429,55.35,40.8142857143,32.4,29.8285714286,0.885714285714
1987,3,2.0,25.27125,58.52375,37.7625,32.075,27.875,0.5671875
1987,3,3.0,26.56125,60.5325,36.6,26.9625,25.255,0.2359375
1987,3,4.0,27.0775,62.80875,42.2625,27.425,28.3175,0.0703125
1987,4,1.0,25.9157142857,65.3771428571,49.8,35.9428571429,34.3,0.226785714286
1987,4,2.0,25.055,65.45625,40.775,28.925,28.2825,0.2203125
1987,4,3.0,23.36625,67.64875,45.15,30.1375,29.65,0.1578125
1987,4,4.0,19.3057142857,71.9957142857,61.5,40.2714285714,41.4057142857,0.101785714286
1987,5,1.0,14.8457142857,71.0371428571,58.1285714286,42.4714285714,40.74,0.183928571429
1987,5,2.0,9.11375,73.2175,61.0,46.625,43.23,0.2015625
1987,5,3.0,7.55810810811,72.0297297297,49.4459459459,34.7567567568,32.6,0.0224137931034
1987,5,4.0,6.86805555556,72.0583333333,49.7222222222,39.7361111111,34.2722222222,0.460714285714
1987,6,1.0,6.9625,77.684375,65.4375,44.953125,42.30625,0.004
1987,6,2.0,7.16111111111,78.3347222222,64.1666666667,48.1111111111,43.6388888889,0.0285714285714
1987,6,3.0,7.41126760563,76.5309859155,55.5352112676,40.338028169,36.8873239437,0.0454545454545
1987,6,4.0,8.06206896552,81.6896551724,75.5344827586,56.2068965517,50.4965517241,0.00681818181818
1987,7,1.0,8.52727272727,79.2818181818,57.3636363636,46.3454545455,37.4181818182,0.0682926829268
1987,7,2.0,6.92405063291,79.0126582278,65.1392405063,46.3417721519,43.5873417722,0.0
1987,7,3.0,7.03,77.565,60.85,46.4,43.0175,0.1484375
1987,7,4.0,7.76216216216,80.9837837838,64.8243243243,50.9189189189,43.8378378378,0.0137931034483
1987,8,1.0,8.00634920635,80.9920634921,69.9047619048,51.0317460317,47.5777777778,0.0
1987,8,2.0,8.05833333333,79.3944444444,63.1527777778,51.1388888889,44.4527777778,0.0785714285714
1987,8,3.0,8.31111111111,79.7486111111,66.4722222222,47.6805555556,44.75,0.00178571428571
1987,8,4.0,7.87368421053,81.3736842105,77.8815789474,58.8289473684,54.9736842105,0.0
1987,9,1.0,8.31111111111,80.1904761905,71.9365079365,52.4603174603,49.0634920635,0.0142857142857
1987,9,2.0,7.77142857143,80.8376623377,64.0909090909,50.1818181818,44.3636363636,0.0688524590164
1987,9,3.0,7.77142857143,80.6805194805,70.3896103896,49.8051948052,47.7402597403,0.0016393442623
1987,9,4.0,6.53333333333,79.1695652174,62.8985507246,45.4347826087,43.9826086957,0.0315789473684
1988,1,1.0,9.76125,23.95125,25.3,17.4,20.8625,0.04625
1988,1,2.0,12.1069306931,26.2198019802,31.495049505,25.0693069307,28.3663366337,0.775247524752
1988,1,3.0,15.4092783505,30.2917525773,31.1546391753,23.2371134021,27.0412371134,0.141237113402
1988,1,4.0,15.5957894737,30.3621052632,35.3052631579,25.6421052632,30.96,0.235106382979
1988,10,1.0,0.00981432360743,1.89549071618,46.4986737401,37.0318302387,41.0026525199,0.131341301461
1988,10,2.0,0.0,0.0653846153846,57.3846153846,44.1346153846,49.0576923077,0.0211538461538
1988,11,1.0,4.19285714286,12.8585164835,34.0700549451,29.6373626374,31.6758241758,0.528983516484
1988,11,2.0,1.33921568627,9.94117647059,32.6862745098,28.9215686275,31.0196078431,0.4
1988,12,1.0,10.6608247423,22.2884020619,33.7731958763,27.3157216495,30.1868556701,0.227448453608
1988,12,2.0,9.81296296296,20.8240740741,38.1481481481,31.4074074074,34.5740740741,0.0925925925926
1988,2,1.0,15.9627906977,30.8104651163,30.5581395349,21.3720930233,25.8604651163,0.16976744186
1988,2,2.0,16.6634146341,33.8012195122,34.9024390244,27.8292682927,31.3170731707,0.478048780488
1988,2,3.0,19.5070707071,37.7383838384,31.898989899,21.2828282828,25.9797979798,0.0626262626263
1988,2,4.0,19.3520547945,37.5534246575,39.8767123288,27.9589041096,32.8082191781,0.0424657534247
